4,-9.93359,65.8851
3.6,-9.92865,65.9161
3.2,-9.92644,65.9202
2.8,-9.92514,65.9173
2.4,-9.92415,65.913
2,-9.9233,65.9088
1.6,-9.92253,65.9049
1.2,-9.92183,65.9015
0.8,-9.92119,65.8986
0.4,-9.92062,65.896
5.55112e-16,-9.92011,65.8938
-0.4,-9.91966,65.8919
-0.8,-9.91926,65.8902
-1.2,-9.9189,65.8888
-1.6,-9.91859,65.8875
-2,-9.91831,65.8864
-2.4,-9.91807,65.8855
-2.8,-9.91786,65.8847
-3.2,-9.91768,65.8839
-3.6,-9.91752,65.8833
-4,-9.91738,65.8828
-3.6,-9.91726,65.8823
-3.2,-9.91715,65.8819
-2.8,-9.91706,65.8816
-2.4,-9.91698,65.8813
-2,-9.91691,65.881
-1.6,-9.91685,65.8808
-1.2,-9.91679,65.8806
-0.8,-9.91675,65.8805
-0.4,-9.91671,65.8803
3.33067e-16,-9.91668,65.8802
0.4,-9.91665,65.8801
0.8,-9.91662,65.88
1.2,-9.9166,65.8799
1.6,-9.91658,65.8798
2,-9.91656,65.8798
2.4,-9.91655,65.8797
2.8,-9.91654,65.8797
3.2,-9.91653,65.8796
3.6,-9.91652,65.8796
4,-9.91651,65.8796
